# LET [MeV/cm], E [MeV], beta 
25.2286,20.7477,0.20761
25.2039,20.7726,0.20773
25.1793,20.7975,0.207851
25.1548,20.8224,0.207971
25.1302,20.8473,0.208091
25.1058,20.8722,0.208211
25.0814,20.8971,0.208331
25.0571,20.922,0.208451
25.0328,20.9469,0.208571
25.0085,20.9718,0.208691
24.9843,20.9967,0.208811
24.9602,21.0216,0.208931
24.9361,21.0465,0.20905
24.9121,21.0714,0.20917
24.8881,21.0963,0.209289
24.8642,21.1212,0.209409
24.8403,21.1461,0.209528
24.8165,21.171,0.209647
24.7927,21.1959,0.209767
24.769,21.2208,0.209886
24.7453,21.2457,0.210005
24.7217,21.2706,0.210124
24.6981,21.2955,0.210242
24.6746,21.3204,0.210361
24.6511,21.3453,0.21048
24.6277,21.3702,0.210599
24.6043,21.3951,0.210717
24.581,21.42,0.210836
24.5577,21.4449,0.210954
24.5345,21.4698,0.211072
24.5113,21.4947,0.211191
24.4882,21.5197,0.211309
24.4651,21.5446,0.211427
24.4421,21.5695,0.211545
24.4191,21.5944,0.211663
24.3962,21.6193,0.211781
24.3733,21.6442,0.211898
24.3505,21.6691,0.212016
24.3277,21.694,0.212134
24.3049,21.7189,0.212251
24.2822,21.7438,0.212369
24.2596,21.7687,0.212486
24.237,21.7936,0.212604
24.2145,21.8185,0.212721
24.1919,21.8434,0.212838
24.1695,21.8683,0.212955
24.1471,21.8932,0.213072
24.1247,21.9181,0.213189
24.1024,21.943,0.213306
24.0801,21.9679,0.213423
24.0579,21.9928,0.21354
24.0357,22.0177,0.213657
24.0136,22.0426,0.213773
23.9915,22.0675,0.21389
23.9694,22.0924,0.214006
23.9474,22.1173,0.214123
23.9255,22.1422,0.214239
23.9036,22.1671,0.214355
23.8817,22.192,0.214471
23.8599,22.2169,0.214588
23.8381,22.2418,0.214704
23.8164,22.2667,0.21482
23.7947,22.2916,0.214935
23.7731,22.3165,0.215051
23.7515,22.3414,0.215167
23.7299,22.3663,0.215283
23.7084,22.3912,0.215398
23.6869,22.4161,0.215514
23.6655,22.441,0.215629
23.6441,22.4659,0.215745
23.6228,22.4908,0.21586
23.6015,22.5158,0.215975
